"","state","city","certified","withdraw","cert_withdraw","reject","denied","invalidated","pending","total","rank"
"646","NEW JERSEY","HACKENSACK",718,38,15,0,42,0,0,813,1077
"647","NEW YORK","LIVERPOOL",73,4,4,0,4,0,0,85,1077
"648","TEXAS","ARLINGTON",1199,37,48,0,62,0,0,1346,1077
"649","NEW JERSEY","PRINCETON JUNCTION",725,32,27,0,25,0,0,809,1076
"650","TEXAS","WESTLAKE",1168,28,38,0,11,0,0,1245,1076
"651","NEW JERSEY","CLIFTON",671,26,27,0,38,0,0,762,1075
"652","NEW YORK","BABYLON",73,1,5,0,3,0,0,82,1075
"653","NEW YORK","CORONA",67,2,1,0,12,0,0,82,1075
"654","NEW YORK","LYNBROOK",74,0,1,0,7,0,0,82,1075
"655","TEXAS","ALLEN",897,28,82,0,31,0,0,1038,1075
"656","NEW JERSEY","TRENTON",650,14,28,0,29,0,0,721,1074
"657","TEXAS","LUBBOCK",733,35,238,0,31,0,0,1037,1074
"658","CALIFORNIA","ATLANTA",13,1,1,0,0,0,0,15,1073.5
"659","CALIFORNIA","DALLAS",11,0,2,0,2,0,0,15,1073.5
"660","CALIFORNIA","FRENCH CAMP",12,2,0,0,1,0,0,15,1073.5
"661","CALIFORNIA","GREENWOOD VILLAGE",5,8,2,0,0,0,0,15,1073.5
"662","CALIFORNIA","PORT HUENEME",13,1,0,0,1,0,0,15,1073.5
"663","CALIFORNIA","TRUCKEE",11,0,1,0,3,0,0,15,1073.5
"664","NEW JERSEY","MURRAY HILL",676,11,19,0,7,0,0,713,1073
"665","NEW YORK","MASSAPEQUA",65,9,1,0,6,0,0,81,1073
"666","TEXAS","MCKINNEY",889,19,90,0,25,0,0,1023,1073
"667","NEW JERSEY","METUCHEN",640,30,12,0,18,0,0,700,1072
"668","NEW YORK","AMITYVILLE",63,7,7,0,2,0,0,79,1072
"669","TEXAS","STAFFORD",904,23,37,0,58,0,0,1022,1072
"670","NEW JERSEY","MATAWAN",607,29,14,0,18,0,0,668,1071
"671","TEXAS","FARMERS BRANCH",747,22,108,0,31,0,0,908,1071
"672","NEW YORK","DELMAR",52,3,20,0,3,0,0,78,1070.5
"673","NEW YORK","HORSEHEADS",62,5,10,0,1,0,0,78,1070.5
"674","NEW JERSEY","MOORESTOWN",614,17,24,0,7,0,0,662,1070
"675","TEXAS","GALVESTON",632,77,66,0,38,0,0,813,1070
"676","NEW JERSEY","LIVINGSTON",596,18,18,0,14,0,0,646,1069
"677","TEXAS","SPRING",534,36,73,0,32,0,0,675,1069
"678","NEW YORK","HEMPSTEAD",65,4,2,0,6,0,0,77,1068.5
"679","NEW YORK","SPRING VALLEY",69,1,2,0,5,0,0,77,1068.5
"680","NEW JERSEY","BEDMINSTER",580,18,34,0,13,0,0,645,1068
"681","TEXAS","CORPUS CHRISTI",543,23,51,0,42,0,0,659,1068
"682","CALIFORNIA","BAY POINT",13,0,1,0,0,0,0,14,1067.5
"683","CALIFORNIA","LEMOORE",12,1,1,0,0,0,0,14,1067.5
"684","CALIFORNIA","LYNWOOD",13,0,0,0,1,0,0,14,1067.5
"685","CALIFORNIA","MENIFEE",9,0,0,0,5,0,0,14,1067.5
"686","CALIFORNIA","SEGUNDO",14,0,0,0,0,0,0,14,1067.5
"687","CALIFORNIA","SUNLAND",13,0,0,0,1,0,0,14,1067.5
"688","NEW JERSEY","SUMMIT",531,15,25,0,18,0,0,589,1067
"689","NEW YORK","EAST HAMPTON",59,7,3,0,7,0,0,76,1067
"690","TEXAS","GRAPEVINE",545,38,23,0,23,0,0,629,1067
"691","NEW JERSEY","NORTH BERGEN",507,7,48,0,18,0,0,580,1066
"692","TEXAS","DENTON",521,20,66,0,21,0,0,628,1066
"693","NEW JERSEY","SOUTH BRUNSWICK",517,15,18,0,10,0,0,560,1065
"694","NEW YORK","JOHNSON CITY",57,8,2,0,8,0,0,75,1065
"695","NEW YORK","MALONE",59,5,7,0,4,0,0,75,1065
"696","NEW YORK","ROSEDALE",71,1,1,0,2,0,0,75,1065
"697","TEXAS","TYLER",540,15,33,0,24,0,0,612,1065
"698","NEW JERSEY","BRANCHBURG",512,20,16,0,10,0,0,558,1064
"699","TEXAS","GARLAND",512,20,44,0,30,0,0,606,1064
"700","NEW JERSEY","PEAPACK",514,9,26,0,5,0,0,554,1063
"701","TEXAS","BELLAIRE",511,17,32,0,19,0,0,579,1063
"702","NEW YORK","CONGERS",67,1,2,0,3,0,0,73,1062.5
"703","NEW YORK","GLEN COVE",57,3,2,0,11,0,0,73,1062.5
"704","NEW JERSEY","TOTOWA",498,4,22,0,8,0,0,532,1062
"705","TEXAS","GRAND PRAIRIE",482,8,29,0,21,0,0,540,1062
"706","NEW JERSEY","RUTHERFORD",477,11,26,0,9,0,0,523,1061
"707","NEW YORK","SKANEATELES FALLS",64,2,5,0,1,0,0,72,1061
"708","TEXAS","MIDLAND",420,16,67,0,23,0,0,526,1060.5
"709","TEXAS","PASADENA",450,20,22,0,34,0,0,526,1060.5
"710","NEW JERSEY","EWING",474,8,9,0,17,0,0,508,1060
"711","NEW JERSEY","MT. LAUREL",425,15,37,0,13,0,0,490,1059
"712","NEW YORK","CHEEKTOWAGA",62,1,1,0,5,0,0,69,1059
"713","NEW YORK","FRESH MEADOWS",55,4,2,0,8,0,0,69,1059
"714","NEW YORK","OLD WESTBURY",55,3,8,0,3,0,0,69,1059
"715","TEXAS","ODESSA",419,20,49,0,31,0,0,519,1059
"716","CALIFORNIA","BLUE JAY",12,0,0,0,1,0,0,13,1058.5
"717","CALIFORNIA","BONSALL",8,0,1,0,4,0,0,13,1058.5
"718","CALIFORNIA","EASTVALE",11,1,0,0,1,0,0,13,1058.5
"719","CALIFORNIA","GRANITE BAY",11,0,0,0,2,0,0,13,1058.5
"720","CALIFORNIA","HILLSBOROUGH",9,2,0,0,2,0,0,13,1058.5
"721","CALIFORNIA","LAMONT",9,1,2,0,1,0,0,13,1058.5
"722","CALIFORNIA","MISSION HILLS",12,0,0,0,1,0,0,13,1058.5
"723","CALIFORNIA","PACIFICA",12,0,1,0,0,0,0,13,1058.5
"724","CALIFORNIA","RALEIGH",8,2,3,0,0,0,0,13,1058.5
"725","CALIFORNIA","ROLLING HILLS ESTATES",12,0,0,0,1,0,0,13,1058.5
"726","CALIFORNIA","SCOTTSDALE",11,1,1,0,0,0,0,13,1058.5
"727","CALIFORNIA","TOPANGA",11,0,1,0,1,0,0,13,1058.5
"728","NEW JERSEY","WHITEHOUSE STATION",441,7,22,0,9,0,0,479,1058
"729","TEXAS","MCALLEN",398,11,15,0,90,0,0,514,1058
"730","NEW JERSEY","RAHWAY",413,3,49,0,12,0,0,477,1057
"731","TEXAS","BAYTOWN",415,23,14,0,21,0,0,473,1057
"732","NEW YORK","ORCHARD PARK",53,3,6,0,4,0,0,66,1056.5
"733","NEW YORK","WEST HENRIETTA",53,2,8,0,3,0,0,66,1056.5
"734","NEW JERSEY","NEW PROVIDENCE",445,8,13,0,3,0,0,469,1056
"735","TEXAS","PORT ARTHUR",432,10,14,0,13,0,0,469,1056
"736","NEW JERSEY","SKILLMAN",430,10,21,0,5,0,0,466,1055
"737","TEXAS","LAREDO",313,21,54,0,50,0,0,438,1055
"738","NEW YORK","EAST AURORA",58,0,2,0,4,0,0,64,1054.5
"739","NEW YORK","EAST ROCHESTER",55,0,7,0,2,0,0,64,1054.5
"740","NEW JERSEY","LAWRENCEVILLE",385,9,24,0,18,0,0,436,1054
"741","TEXAS","AMARILLO",349,13,36,0,21,0,0,419,1054
"742","NEW JERSEY","PARK RIDGE",386,10,23,0,4,0,0,423,1053
"743","NEW YORK","CHESTNUT RIDGE",60,0,2,0,1,0,0,63,1053
"744","TEXAS","BROWNSVILLE",326,10,38,0,31,0,0,405,1053
"745","NEW JERSEY","WEST TRENTON",378,5,24,0,9,0,0,416,1052
"746","NEW YORK","SOUTHAMPTON",46,2,1,0,13,0,0,62,1052
"747","TEXAS","BEAUMONT",336,6,35,0,24,0,0,401,1052
"748","NEW JERSEY","CAMDEN",333,16,26,0,24,0,0,399,1051
"749","TEXAS","TEMPLE",271,11,43,0,19,0,0,344,1051
"750","NEW YORK","ROME",55,1,3,0,2,0,0,61,1050.5
"751","NEW YORK","SENECA FALLS",55,0,4,0,2,0,0,61,1050.5
"752","NEW JERSEY","SHORT HILLS",358,10,20,0,10,0,0,398,1050
"753","TEXAS","CYPRESS",310,5,9,0,16,0,0,340,1050
"754","NEW JERSEY","CARLSTADT",346,18,10,0,20,0,0,394,1049
"755","TEXAS","EDINBURG",286,14,5,0,32,0,0,337,1049
"756","NEW YORK","JERSEY CITY",54,4,2,0,0,0,0,60,1048.5
"757","NEW YORK","ROSLYN HEIGHTS",55,1,0,0,4,0,0,60,1048.5
"758","NEW JERSEY","LEBANON",346,22,20,0,3,0,0,391,1048
"759","TEXAS","WACO",282,5,24,0,20,0,0,331,1048
